#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,degT,hPa,degC,degC,degC,nmi,hPa,ft
2022,3,9,0,26,MM,MM,MM,2.6,15,9.1,329,MM,MM,25.1,MM,MM,MM,MM
2022,3,8,23,56,MM,MM,MM,2.4,15,8.8,325,MM,MM,25.1,MM,MM,MM,MM
2022,3,8,23,26,MM,MM,MM,2.5,15,8.9,325,MM,MM,25.1,MM,MM,MM,MM
2022,3,8,22,56,MM,MM,MM,2.7,15,8.8,325,MM,MM,25.1,MM,MM,MM,MM
2022,3,8,22,26,MM,MM,MM,2.7,13,8.7,329,MM,MM,25,MM,MM,MM,MM
2022,3,8,21,56,MM,MM,MM,2.6,15,8.1,319,MM,MM,25,MM,MM,MM,MM
2022,3,8,21,26,MM,MM,MM,2.5,13,8.3,333,MM,MM,25,MM,MM,MM,MM
2022,3,8,20,56,MM,MM,MM,2.5,8,7.6,345,MM,MM,25,MM,MM,MM,MM
2022,3,8,20,26,MM,MM,MM,2.5,15,7.7,321,MM,MM,25,MM,MM,MM,MM
2022,3,8,19,56,MM,MM,MM,2.4,13,7.7,339,MM,MM,25,MM,MM,MM,MM
2022,3,8,19,26,MM,MM,MM,2.5,8,7.5,339,MM,MM,25.1,MM,MM,MM,MM
2022,3,8,18,56,MM,MM,MM,2.3,13,7.3,338,MM,MM,25.1,MM,MM,MM,MM
2022,3,8,18,26,MM,MM,MM,2.2,15,7.4,314,MM,MM,25.1,MM,MM,MM,MM
2022,3,8,17,56,MM,MM,MM,2.3,15,7.2,322,MM,MM,25.1,MM,MM,MM,MM
2022,3,8,17,26,MM,MM,MM,2.1,15,6.9,321,MM,MM,25.1,MM,MM,MM,MM
2022,3,8,16,56,MM,MM,MM,2,17,7,329,MM,MM,25.1,MM,MM,MM,MM
2022,3,8,16,26,MM,MM,MM,1.8,15,6.5,314,MM,MM,25.1,MM,MM,MM,MM
2022,3,8,15,56,MM,MM,MM,1.8,9,6.5,14,MM,MM,25.1,MM,MM,MM,MM
2022,3,8,15,26,MM,MM,MM,1.7,10,7,18,MM,MM,25.1,MM,MM,MM,MM
2022,3,8,14,56,MM,MM,MM,1.5,15,6.8,322,MM,MM,25.1,MM,MM,MM,MM
2022,3,8,14,26,MM,MM,MM,1.6,17,6.6,322,MM,MM,25.1,MM,MM,MM,MM
2022,3,8,13,56,MM,MM,MM,1.4,17,6.4,324,MM,MM,25.1,MM,MM,MM,MM
2022,3,8,13,26,MM,MM,MM,1.4,11,6.4,359,MM,MM,25.1,MM,MM,MM,MM
2022,3,8,12,56,MM,MM,MM,1.3,11,6.1,30,MM,MM,25.1,MM,MM,MM,MM
2022,3,8,12,26,MM,MM,MM,1.3,17,6,319,MM,MM,25.1,MM,MM,MM,MM
2022,3,8,11,56,MM,MM,MM,1.2,9,5.7,9,MM,MM,25.1,MM,MM,MM,MM
2022,3,8,11,26,MM,MM,MM,1.3,11,6.5,2,MM,MM,25.1,MM,MM,MM,MM
2022,3,8,10,56,MM,MM,MM,1.3,11,6.5,20,MM,MM,25.1,MM,MM,MM,MM
2022,3,8,10,26,MM,MM,MM,1.3,11,6.9,28,MM,MM,25.1,MM,MM,MM,MM
2022,3,8,9,56,MM,MM,MM,1.1,10,6.5,20,MM,MM,25.2,MM,MM,MM,MM
2022,3,8,9,26,MM,MM,MM,1.2,11,6.8,353,MM,MM,25.2,MM,MM,MM,MM
2022,3,8,8,56,MM,MM,MM,1.1,11,6.6,345,MM,MM,25.2,MM,MM,MM,MM
2022,3,8,8,26,MM,MM,MM,1.1,11,6.6,17,MM,MM,25.2,MM,MM,MM,MM
2022,3,8,7,56,MM,MM,MM,1.1,11,6.7,349,MM,MM,25.2,MM,MM,MM,MM
2022,3,8,7,26,MM,MM,MM,1.1,11,7.2,13,MM,MM,25.3,MM,MM,MM,MM
2022,3,8,6,56,MM,MM,MM,1.1,10,7.5,17,MM,MM,25.2,MM,MM,MM,MM
2022,3,8,6,26,MM,MM,MM,1.2,9,8,27,MM,MM,25.2,MM,MM,MM,MM
2022,3,8,5,56,MM,MM,MM,1.1,10,8.1,9,MM,MM,25.2,MM,MM,MM,MM
2022,3,8,5,26,MM,MM,MM,1.1,10,7.8,28,MM,MM,25.2,MM,MM,MM,MM
2022,3,8,4,56,MM,MM,MM,1.2,10,7.9,3,MM,MM,25.3,MM,MM,MM,MM
2022,3,8,4,26,MM,MM,MM,1.2,11,8,4,MM,MM,25.3,MM,MM,MM,MM
2022,3,8,3,56,MM,MM,MM,1.2,11,8,24,MM,MM,25.2,MM,MM,MM,MM
2022,3,8,3,26,MM,MM,MM,1.3,11,8.4,18,MM,MM,25.3,MM,MM,MM,MM
2022,3,8,2,56,MM,MM,MM,1.3,10,8.1,350,MM,MM,25.4,MM,MM,MM,MM
2022,3,8,2,26,MM,MM,MM,1.2,11,8.2,355,MM,MM,25.4,MM,MM,MM,MM
2022,3,8,1,56,MM,MM,MM,1.2,10,8.4,23,MM,MM,25.5,MM,MM,MM,MM
2022,3,8,1,26,MM,MM,MM,1.2,10,8.6,28,MM,MM,25.5,MM,MM,MM,MM
2022,3,8,0,56,MM,MM,MM,1.2,11,8.7,359,MM,MM,25.5,MM,MM,MM,MM
2022,3,8,0,26,MM,MM,MM,1.2,11,8.8,25,MM,MM,25.5,MM,MM,MM,MM
2022,3,7,23,56,MM,MM,MM,1,12,8.5,318,MM,MM,25.5,MM,MM,MM,MM
2022,3,7,23,26,MM,MM,MM,1.2,12,8.9,328,MM,MM,25.4,MM,MM,MM,MM
2022,3,7,22,56,MM,MM,MM,1.3,10,9.2,20,MM,MM,25.7,MM,MM,MM,MM
2022,3,7,22,26,MM,MM,MM,1.4,10,9.2,0,MM,MM,25.8,MM,MM,MM,MM
2022,3,7,21,56,MM,MM,MM,1.2,11,9.1,346,MM,MM,25.8,MM,MM,MM,MM
2022,3,7,21,26,MM,MM,MM,1.3,10,9.1,25,MM,MM,25.7,MM,MM,MM,MM
2022,3,7,20,56,MM,MM,MM,1.2,11,8.7,357,MM,MM,25.6,MM,MM,MM,MM
2022,3,7,20,26,MM,MM,MM,1.2,11,8.9,324,MM,MM,25.5,MM,MM,MM,MM
2022,3,7,19,56,MM,MM,MM,1.4,11,9,0,MM,MM,25.3,MM,MM,MM,MM
2022,3,7,19,26,MM,MM,MM,1.2,11,8.8,339,MM,MM,25.2,MM,MM,MM,MM
2022,3,7,18,56,MM,MM,MM,1.4,11,9.1,331,MM,MM,25.1,MM,MM,MM,MM
2022,3,7,18,26,MM,MM,MM,1.4,11,9.2,339,MM,MM,25.1,MM,MM,MM,MM
2022,3,7,17,56,MM,MM,MM,1.3,11,9.2,346,MM,MM,25.1,MM,MM,MM,MM
2022,3,7,17,26,MM,MM,MM,1.3,11,9.1,342,MM,MM,25.1,MM,MM,MM,MM
2022,3,7,16,56,MM,MM,MM,1.4,12,9.2,318,MM,MM,25,MM,MM,MM,MM
2022,3,7,16,26,MM,MM,MM,1.3,11,9.2,346,MM,MM,25.1,MM,MM,MM,MM
2022,3,7,15,56,MM,MM,MM,1.2,12,8.7,321,MM,MM,25,MM,MM,MM,MM
2022,3,7,15,26,MM,MM,MM,1.5,11,9.2,333,MM,MM,25,MM,MM,MM,MM
2022,3,7,14,56,MM,MM,MM,1.3,11,9,325,MM,MM,25,MM,MM,MM,MM
2022,3,7,14,26,MM,MM,MM,1.4,11,9.2,339,MM,MM,25,MM,MM,MM,MM
2022,3,7,13,56,MM,MM,MM,1.3,12,9,332,MM,MM,25,MM,MM,MM,MM
2022,3,7,13,26,MM,MM,MM,1.3,11,8.9,359,MM,MM,25,MM,MM,MM,MM
2022,3,7,12,56,MM,MM,MM,1.4,13,9.2,325,MM,MM,25,MM,MM,MM,MM
2022,3,7,12,26,MM,MM,MM,1.5,12,9.6,326,MM,MM,25,MM,MM,MM,MM
2022,3,7,11,56,MM,MM,MM,1.3,12,9.3,329,MM,MM,25,MM,MM,MM,MM
2022,3,7,11,26,MM,MM,MM,1.4,13,9.4,336,MM,MM,25,MM,MM,MM,MM
2022,3,7,10,56,MM,MM,MM,1.6,12,9.7,339,MM,MM,25,MM,MM,MM,MM
2022,3,7,10,26,MM,MM,MM,1.5,12,9.5,346,MM,MM,25,MM,MM,MM,MM
2022,3,7,9,56,MM,MM,MM,1.5,13,9.4,318,MM,MM,25,MM,MM,MM,MM
2022,3,7,9,26,MM,MM,MM,1.5,12,9.3,331,MM,MM,25.1,MM,MM,MM,MM
2022,3,7,8,56,MM,MM,MM,1.5,12,9.3,328,MM,MM,25.1,MM,MM,MM,MM
2022,3,7,8,26,MM,MM,MM,1.6,13,9.3,331,MM,MM,25.1,MM,MM,MM,MM
2022,3,7,7,56,MM,MM,MM,1.7,13,9.7,321,MM,MM,25.1,MM,MM,MM,MM
2022,3,7,7,26,MM,MM,MM,1.8,13,9.8,326,MM,MM,25.1,MM,MM,MM,MM
2022,3,7,6,56,MM,MM,MM,1.7,13,9.6,319,MM,MM,25.1,MM,MM,MM,MM
2022,3,7,6,26,MM,MM,MM,1.8,13,9.9,319,MM,MM,25.2,MM,MM,MM,MM
2022,3,7,5,56,MM,MM,MM,1.7,12,9.8,317,MM,MM,25.2,MM,MM,MM,MM
2022,3,7,5,26,MM,MM,MM,1.5,13,9.3,319,MM,MM,25.2,MM,MM,MM,MM
2022,3,7,4,56,MM,MM,MM,1.6,12,9.6,325,MM,MM,25.3,MM,MM,MM,MM
2022,3,7,4,26,MM,MM,MM,1.5,13,9.4,328,MM,MM,25.3,MM,MM,MM,MM
2022,3,7,3,56,MM,MM,MM,1.6,13,9.4,325,MM,MM,25.4,MM,MM,MM,MM
2022,3,7,3,26,MM,MM,MM,1.5,13,9.3,319,MM,MM,25.4,MM,MM,MM,MM
2022,3,7,2,56,MM,MM,MM,1.6,13,9.4,325,MM,MM,25.4,MM,MM,MM,MM
2022,3,7,2,26,MM,MM,MM,1.8,13,9.8,324,MM,MM,25.4,MM,MM,MM,MM
2022,3,7,1,56,MM,MM,MM,1.6,10,9.2,6,MM,MM,25.6,MM,MM,MM,MM
2022,3,7,1,26,MM,MM,MM,1.4,13,9.4,325,MM,MM,25.6,MM,MM,MM,MM
2022,3,7,0,56,MM,MM,MM,1.7,13,9.9,317,MM,MM,25.5,MM,MM,MM,MM
2022,3,7,0,26,MM,MM,MM,1.6,13,9.5,326,MM,MM,25.4,MM,MM,MM,MM
2022,3,6,23,56,MM,MM,MM,1.5,12,9.4,326,MM,MM,25.4,MM,MM,MM,MM
2022,3,6,23,26,MM,MM,MM,1.4,13,9.2,315,MM,MM,25.3,MM,MM,MM,MM
2022,3,6,22,56,MM,MM,MM,1.5,13,9.5,336,MM,MM,25.2,MM,MM,MM,MM
2022,3,6,22,26,MM,MM,MM,1.5,13,9.2,338,MM,MM,25.2,MM,MM,MM,MM
2022,3,6,21,56,MM,MM,MM,1.6,13,9.1,319,MM,MM,25.2,MM,MM,MM,MM
2022,3,6,21,26,MM,MM,MM,1.7,13,9.8,310,MM,MM,25.2,MM,MM,MM,MM
2022,3,6,20,56,MM,MM,MM,1.5,13,9.4,321,MM,MM,25.3,MM,MM,MM,MM
2022,3,6,20,26,MM,MM,MM,1.6,13,9.6,319,MM,MM,25.1,MM,MM,MM,MM
2022,3,6,19,56,MM,MM,MM,1.7,11,9.4,359,MM,MM,25.1,MM,MM,MM,MM
2022,3,6,19,26,MM,MM,MM,1.7,13,9.6,317,MM,MM,25,MM,MM,MM,MM
2022,3,6,18,56,MM,MM,MM,1.7,13,9.4,318,MM,MM,25,MM,MM,MM,MM
2022,3,6,18,26,MM,MM,MM,1.7,13,9.7,318,MM,MM,25,MM,MM,MM,MM
2022,3,6,17,56,MM,MM,MM,1.9,13,9.8,319,MM,MM,25,MM,MM,MM,MM
2022,3,6,17,26,MM,MM,MM,1.7,13,9.8,312,MM,MM,25,MM,MM,MM,MM
2022,3,6,16,56,MM,MM,MM,1.7,13,9.8,314,MM,MM,25,MM,MM,MM,MM
2022,3,6,16,26,MM,MM,MM,1.8,13,9.3,314,MM,MM,25,MM,MM,MM,MM
2022,3,6,15,56,MM,MM,MM,1.8,13,9.7,319,MM,MM,25,MM,MM,MM,MM
2022,3,6,15,26,MM,MM,MM,1.7,13,9.3,318,MM,MM,25,MM,MM,MM,MM
2022,3,6,14,56,MM,MM,MM,1.9,13,10,332,MM,MM,25,MM,MM,MM,MM
2022,3,6,14,26,MM,MM,MM,1.8,14,9.8,333,MM,MM,25,MM,MM,MM,MM
2022,3,6,13,56,MM,MM,MM,1.9,13,10,324,MM,MM,25,MM,MM,MM,MM
2022,3,6,13,26,MM,MM,MM,1.9,14,10.2,324,MM,MM,25,MM,MM,MM,MM
2022,3,6,12,56,MM,MM,MM,1.7,12,9.7,339,MM,MM,25,MM,MM,MM,MM
2022,3,6,12,26,MM,MM,MM,2,14,10.2,328,MM,MM,25,MM,MM,MM,MM
2022,3,6,11,56,MM,MM,MM,1.9,14,10.5,328,MM,MM,25,MM,MM,MM,MM
2022,3,6,11,26,MM,MM,MM,1.9,13,10.3,326,MM,MM,25,MM,MM,MM,MM
2022,3,6,10,56,MM,MM,MM,1.9,14,10.7,328,MM,MM,25,MM,MM,MM,MM
2022,3,6,10,26,MM,MM,MM,1.9,13,10.2,332,MM,MM,25,MM,MM,MM,MM
2022,3,6,9,56,MM,MM,MM,2,13,10.7,318,MM,MM,25,MM,MM,MM,MM
2022,3,6,9,26,MM,MM,MM,2.1,13,10.7,326,MM,MM,25,MM,MM,MM,MM
2022,3,6,8,56,MM,MM,MM,2,12,10.2,336,MM,MM,25,MM,MM,MM,MM
2022,3,6,8,26,MM,MM,MM,2.2,13,10.8,324,MM,MM,25,MM,MM,MM,MM
2022,3,6,7,56,MM,MM,MM,2.2,13,10.9,329,MM,MM,25,MM,MM,MM,MM
2022,3,6,7,26,MM,MM,MM,2.1,15,10.8,324,MM,MM,25,MM,MM,MM,MM
2022,3,6,6,56,MM,MM,MM,2.1,13,10.2,328,MM,MM,25.1,MM,MM,MM,MM
2022,3,6,6,26,MM,MM,MM,2.1,14,10.3,315,MM,MM,25.1,MM,MM,MM,MM
2022,3,6,5,56,MM,MM,MM,2.1,14,10,322,MM,MM,25.1,MM,MM,MM,MM
2022,3,6,5,26,MM,MM,MM,2.1,14,10.2,321,MM,MM,25.1,MM,MM,MM,MM
2022,3,6,4,56,MM,MM,MM,2,13,10,319,MM,MM,25.1,MM,MM,MM,MM
2022,3,6,4,26,MM,MM,MM,2.1,13,10.1,324,MM,MM,25.1,MM,MM,MM,MM
2022,3,6,3,56,MM,MM,MM,2.5,14,11,322,MM,MM,25.2,MM,MM,MM,MM
2022,3,6,3,26,MM,MM,MM,2.1,14,10.3,325,MM,MM,25.2,MM,MM,MM,MM
2022,3,6,2,56,MM,MM,MM,2.2,15,10.6,319,MM,MM,25.2,MM,MM,MM,MM
2022,3,6,2,26,MM,MM,MM,2.3,13,10.5,321,MM,MM,25.2,MM,MM,MM,MM
2022,3,6,1,56,MM,MM,MM,2.1,15,10.3,321,MM,MM,25.2,MM,MM,MM,MM
2022,3,6,1,26,MM,MM,MM,2.1,14,10.1,321,MM,MM,25.2,MM,MM,MM,MM
2022,3,6,0,56,MM,MM,MM,2.1,15,10.2,321,MM,MM,25.2,MM,MM,MM,MM
2022,3,6,0,26,MM,MM,MM,2.1,14,9.9,325,MM,MM,25.2,MM,MM,MM,MM
2022,3,5,23,56,MM,MM,MM,2,14,9.8,331,MM,MM,25.2,MM,MM,MM,MM
2022,3,5,23,26,MM,MM,MM,2.1,14,10.2,322,MM,MM,25.2,MM,MM,MM,MM
2022,3,5,22,56,MM,MM,MM,2,14,9.9,324,MM,MM,25.2,MM,MM,MM,MM
2022,3,5,22,26,MM,MM,MM,1.9,14,10.1,328,MM,MM,25.2,MM,MM,MM,MM
2022,3,5,21,56,MM,MM,MM,1.9,14,9.6,326,MM,MM,25.2,MM,MM,MM,MM
2022,3,5,21,26,MM,MM,MM,2.1,10,10,2,MM,MM,25.2,MM,MM,MM,MM
2022,3,5,20,56,MM,MM,MM,2,13,10.1,318,MM,MM,25.1,MM,MM,MM,MM
2022,3,5,20,26,MM,MM,MM,2.1,13,10,331,MM,MM,25.1,MM,MM,MM,MM
2022,3,5,19,56,MM,MM,MM,2.1,13,9.9,321,MM,MM,25.1,MM,MM,MM,MM
2022,3,5,19,26,MM,MM,MM,2,12,9.8,352,MM,MM,25.1,MM,MM,MM,MM
2022,3,5,18,56,MM,MM,MM,2.1,13,10.1,317,MM,MM,25,MM,MM,MM,MM
2022,3,5,18,26,MM,MM,MM,2,12,9.6,318,MM,MM,25,MM,MM,MM,MM
2022,3,5,17,56,MM,MM,MM,2,15,9.9,322,MM,MM,25,MM,MM,MM,MM
2022,3,5,17,26,MM,MM,MM,2.1,14,10,312,MM,MM,25,MM,MM,MM,MM
2022,3,5,16,56,MM,MM,MM,2.1,13,9.9,317,MM,MM,25,MM,MM,MM,MM
2022,3,5,16,26,MM,MM,MM,2,14,10,322,MM,MM,25,MM,MM,MM,MM
2022,3,5,15,56,MM,MM,MM,2.2,13,10.1,321,MM,MM,25,MM,MM,MM,MM
2022,3,5,15,26,MM,MM,MM,2.3,13,10,325,MM,MM,25,MM,MM,MM,MM
2022,3,5,14,56,MM,MM,MM,2.2,13,10.4,322,MM,MM,25,MM,MM,MM,MM
2022,3,5,14,26,MM,MM,MM,2.2,13,10,315,MM,MM,25,MM,MM,MM,MM
2022,3,5,13,56,MM,MM,MM,2.1,13,9.9,322,MM,MM,25,MM,MM,MM,MM
2022,3,5,13,26,MM,MM,MM,2.4,13,10.2,318,MM,MM,25,MM,MM,MM,MM
2022,3,5,12,56,MM,MM,MM,2.2,13,9.8,329,MM,MM,25,MM,MM,MM,MM
2022,3,5,12,26,MM,MM,MM,2.3,13,10.5,328,MM,MM,25,MM,MM,MM,MM
2022,3,5,11,56,MM,MM,MM,1.9,13,9.6,328,MM,MM,25,MM,MM,MM,MM
2022,3,5,11,26,MM,MM,MM,2,14,9.8,322,MM,MM,25,MM,MM,MM,MM
2022,3,5,10,56,MM,MM,MM,2.1,13,10.1,321,MM,MM,25,MM,MM,MM,MM
2022,3,5,10,26,MM,MM,MM,2.1,14,10.3,322,MM,MM,25,MM,MM,MM,MM
2022,3,5,9,56,MM,MM,MM,2,13,9.9,321,MM,MM,25,MM,MM,MM,MM
2022,3,5,9,26,MM,MM,MM,2.2,14,10.1,332,MM,MM,25.1,MM,MM,MM,MM
2022,3,5,8,56,MM,MM,MM,2,14,9.8,324,MM,MM,25,MM,MM,MM,MM
2022,3,5,8,26,MM,MM,MM,1.9,11,9.3,11,MM,MM,25,MM,MM,MM,MM
2022,3,5,7,56,MM,MM,MM,2.1,14,9.7,319,MM,MM,25,MM,MM,MM,MM
2022,3,5,7,26,MM,MM,MM,2.2,14,9.5,319,MM,MM,25,MM,MM,MM,MM
